compton_LHe_cryo_kapton_leadshield_8  |                root  |compton_LHe_cryo_kapton_leadshield_8  |-53.7492885303871*cm -0.000394864321870122*cm -37.6360656594346*cm  |                     0*deg 125*deg 0*deg  | 000099   |                Tube  |                       0*cm 21.0363*cm 7.62*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_paraffin_8  |compton_LHe_cryo_kapton_leadshield_8  |compton_LHe_cryo_kapton_paraffin_8  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 009900   |                Cons  |        0*cm 6.9342*cm 0*cm 8.9281*cm  7.62*cm 0*deg 360*deg  |         G4_PARAFFIN  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_target  |                root  |compton_LHe_cryo_kapton_target  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 2200cc   |                Cons  |     0*inch 1.068*inch 0*inch 0.792*inch 10*cm 0*deg 360*deg  |          He4_liquid  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoWall_1  |                root  |compton_LHe_cryo_kapton_cryoWall_1  |                              0*inch 3*inch 0*inch  |                      90*deg 0*deg 0*deg  | 099000   |                Tube  |                       6.96*inch 7*inch 6*inch 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoPlate_1  |                root  |compton_LHe_cryo_kapton_cryoPlate_1  |                          0*inch -3.02*inch 0*inch  |                      90*deg 0*deg 0*deg  | 099000   |                Tube  |                       0*inch 7*inch 0.02*inch 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoFrontWindow_1  |                root  |compton_LHe_cryo_kapton_cryoFrontWindow_1  |                           0*inch 0*inch 6.98*inch  |                       0*deg 0*deg 0*deg  | 990000   |                Tube  |                     0*inch 1.0*inch 0.02*inch 0*deg 360*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoBackWindow_1  |                root  |compton_LHe_cryo_kapton_cryoBackWindow_1  |                          0*inch 0*inch -6.98*inch  |                       0*deg 0*deg 0*deg  | 990000   |                Tube  |                     0*inch 1.0*inch 0.02*inch 0*deg 360*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoWall_2  |                root  |compton_LHe_cryo_kapton_cryoWall_2  |                              0*inch 4*inch 0*inch  |                      90*deg 0*deg 0*deg  | 099000   |                Tube  |                      7.96*inch 8*inch 11*inch 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoPlate_2  |                root  |compton_LHe_cryo_kapton_cryoPlate_2  |                          0*inch -7.02*inch 0*inch  |                      90*deg 0*deg 0*deg  | 099000   |                Tube  |                       0*inch 8*inch 0.02*inch 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoFrontWindow_2  |                root  |compton_LHe_cryo_kapton_cryoFrontWindow_2  |                           0*inch 0*inch 7.98*inch  |                       0*deg 0*deg 0*deg  | 990000   |                Tube  |                     0*inch 1.0*inch 0.02*inch 0*deg 360*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoBackWindow_2  |                root  |compton_LHe_cryo_kapton_cryoBackWindow_2  |                          0*inch 0*inch -7.98*inch  |                       0*deg 0*deg 0*deg  | 990000   |                Tube  |                     0*inch 1.0*inch 0.02*inch 0*deg 360*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoWall_3  |                root  |compton_LHe_cryo_kapton_cryoWall_3  |                              0*inch 6*inch 0*inch  |                      90*deg 0*deg 0*deg  | 099000   |                Tube  |                      8.96*inch 9*inch 14*inch 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoPlate_3  |                root  |compton_LHe_cryo_kapton_cryoPlate_3  |                          0*inch -8.25*inch 0*inch  |                      90*deg 0*deg 0*deg  | 099000   |                Tube  |                       0*inch 9*inch 0.25*inch 0*deg 360*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoFrontWindow_3  |                root  |compton_LHe_cryo_kapton_cryoFrontWindow_3  |                           0*inch 0*inch 8.98*inch  |                       0*deg 0*deg 0*deg  | 990000   |                Tube  |                     0*inch 1.0*inch 0.02*inch 0*deg 360*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_cryoBackWindow_3  |                root  |compton_LHe_cryo_kapton_cryoBackWindow_3  |                          0*inch 0*inch -8.98*inch  |                       0*deg 0*deg 0*deg  | 990000   |                Tube  |                     0*inch 1.0*inch 0.02*inch 0*deg 360*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_Cplate  |                root  |compton_LHe_cryo_kapton_Cplate  |                         0*inch -15.25*inch 0*inch  |                     -90*deg 0*deg 0*deg  | 000990   |                Tube  |                    4.5*inch 16*inch 0.25*inch 0*deg 180*deg  |               G4_Al  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_KaptonCellWall  |                root  |compton_LHe_cryo_kapton_KaptonCellWall  |                                    0*cm 0*cm 0*cm  |                       0*deg 0*deg 0*deg  | 990000   |                Cons  |1.068*inch 1.073*inch 0.792*inch 0.797*inch 10*cm 0*deg 360*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_KaptonFrontCap  |                root  |compton_LHe_cryo_kapton_KaptonFrontCap  |                            0*cm 0*cm -10.00635*cm  |                       0*deg 0*deg 0*deg  | 990000   |                Tube  |                0.*inch 1.068*inch 0.0025*inch 0*deg 360*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
compton_LHe_cryo_kapton_KaptonBackCap  |                root  |compton_LHe_cryo_kapton_KaptonBackCap  |                             0*cm 0*cm 10.00635*cm  |                       0*deg 0*deg 0*deg  | 990000   |                Tube  |                0.*inch 0.792*inch 0.0025*inch 0*deg 360*deg  |           G4_KAPTON  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
